species	domain	phylum	class	order	family	genus
Enterococcus faecalis	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Staphylococcus aureus	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Escherichia coli	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
Proteus mirabilis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
Klebsiella pneumoniae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Citrobacter koseri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Bacillus cereus	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus
Enterobacter cloacae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Campylobacter jejuni	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Staphylococcus saprophyticus	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Proteus vulgaris	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
Bacteroides fragilis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Enterococcus faecium	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Pseudomonas aeruginosa	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Peptoniphilus harei	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Enterococcus avium	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Serratia marcescens	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
Klebsiella oxytoca	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Haemophilus influenzae	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Haemophilus parainfluenzae	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Morganella morganii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella
Bacteroides thetaiotaomicron	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Prevotella disiens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Citrobacter freundii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Staphylococcus lugdunensis	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Pantoea agglomerans	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
Providencia rettgeri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia
Finegoldia magna	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia
Streptococcus pneumoniae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Prevotella bivia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Enterobacter asburiae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Turicella otitidis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Stenotrophomonas maltophilia	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas
Enterobacter aerogenes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Aerococcus urinae	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
Aerococcus sanguinicola	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
Raoultella ornithinolytica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Bacteroides ovatus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Staphylococcus epidermidis	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Enterobacter ludwigii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Candida glabrata	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces
Trueperella bernardiae	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella
Actinomyces turicensis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces
Neisseria meningitidis	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Acinetobacter baumannii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Streptococcus gallolyticus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Enterococcus gallinarum	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Alcaligenes faecalis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes
Arthrobacter cumminsii	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Pseudoglutamicibacter
Candida albicans	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida
Clostridium innocuum	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Staphylococcus capitis	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Providencia stuartii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia
Citrobacter amalonaticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Pasteurella multocida	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella
Hafnia alvei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia
Corynebacterium pseudodiphtheriticum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Achromobacter xylosoxidans	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
Enterobacter kobei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter
Candida tropicalis	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida
Staphylococcus pettenkoferi	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Staphylococcus hominis	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Capnocytophaga sputigena		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
Acinetobacter ursingii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Bifidobacterium breve	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bacteroides uniformis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Staphylococcus haemolyticus	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Parvimonas micra	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas
Actinomyces odontolyticus	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia
Aerococcus viridans	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
Lactobacillus paracasei	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus
Peptostreptococcus anaerobius	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus
Acinetobacter johnsonii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Prevotella denticola	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Lactobacillus gasseri	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Prevotella buccae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Propionibacterium avidum	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium
Actinomyces neuii	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces
Granulicatella adiacens	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
Streptococcus oralis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Citrobacter braakii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Anaerococcus vaginalis	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus
Streptococcus dysgalactiae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Candida parapsilosis	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida
Pseudomonas stutzeri	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Neisseria gonorrhoeae	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Rhizobium radiobacter	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium
Bacteroides vulgatus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Serratia liquefaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
Pseudomonas monteilii	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Acinetobacter junii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Corynebacterium amycolatum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Staphylococcus warneri	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Staphylococcus simulans	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Enterococcus dispar	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Acinetobacter pittii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter
Providencia alcalifaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia
Streptococcus pyogenes	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus agalactiae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Klebsiella variicola	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Streptococcus mutans	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Clostridium perfringens	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Staphylococcus caprae	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Streptococcus anginosus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus vestibularis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus parasanguinis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus mitis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus canis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Staphylococcus xylosus	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Streptococcus gordonii	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Streptococcus intermedius	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Staphylococcus schleiferi	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Salmonella anatum	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
Streptococcus constellatus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Proteus hauseri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus
Staphylococcus saccharolyticus	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Salmonella newington	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
Sphingomonas paucimobilis	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Streptococcus cristatus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Actinomyces oris	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces
Campylobacter coli	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Corynebacterium striatum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Streptococcus pseudopneumoniae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Bacillus mycoides	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus
Rothia mucilaginosa	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia
Corynebacterium tuberculostearicum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Staphylococcus cohnii	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Propionibacterium acnes	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium
Gardnerella vaginalis	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
Candida dubliniensis	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida
Dermabacter hominis	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Dermabacter
Candida kefyr	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces
Neisseria subflava	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Lactobacillus fermentum	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus
Lactobacillus salivarius	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
Corynebacterium aurimucosum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Candida krusei	Eukaryota	Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia
Fusobacterium necrophorum	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Haemophilus parahaemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Actinotignum schaalii	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinotignum
Streptococcus salivarius	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Lactobacillus rhamnosus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus
Aggregatibacter aphrophilus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
Moraxella_sg_Branhamella catarrhalis		Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella
Lactobacillus iners	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Propionibacterium granulosum	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propionibacterium
Gemella haemolysans	Bacteria	Bacillota	Bacilli	Caryophanales	Gemellaceae	Gemella
Saccharomyces cerevisiae	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
Neisseria cinerea	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Actinotignum sanguinis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinotignum
Corynebacterium propinquum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Corynebacterium simulans	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Arcobacter butzleri	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter
Micrococcus luteus	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Micrococcus
Lactobacillus jensenii	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Clostridium difficile	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Bacillus pumilus	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus
Haemophilus haemolyticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Lactobacillus delbrueckii	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Fusobacterium naviforme	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Weissella confusa	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella
Fusobacterium nucleatum	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
Streptococcus lutetiensis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Aggregatibacter segnis	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
Prevotella nigrescens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Corynebacterium coyleae	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Neisseria flavescens	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Actinomyces europaeus	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Gleimia
Pseudomonas citronellolis	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Lactobacillus vaginalis	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus
Helcococcus kunzii	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Helcococcus
Streptococcus sanguinis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Lactobacillus crispatus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Corynebacterium accolens	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Eikenella corrodens	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella
Prevotella melaninogenica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Staphylococcus pasteuri	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Veillonella parvula	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Corynebacterium jeikeium	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Anaerococcus murdochii	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus
Sutterella wadsworthensis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
Neisseria macacae	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Prevotella intermedia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Neisseria elongata	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Corynebacterium afermentans	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Lactobacillus johnsonii	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Campylobacter ureolyticus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Prevotella nanceiensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Bacillus simplex	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Peribacillus
Bifidobacterium dentium	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Eggerthella lenta	Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella
Pseudomonas composti	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Ectopseudomonas
Bifidobacterium longum	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Alloscardovia omnicolens	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
Corynebacterium glucuronolyticum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Candida lusitaniae	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Clavispora
Slackia exigua	Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia
Atopobium rimae	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella
Oligella urethralis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Oligella
Candida guilliermondii	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida
Bacteroides faecis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Actinomyces radingae	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces
Veillonella atypica	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Corynebacterium kroppenstedtii	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Campylobacter fetus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Serratia ureilytica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia
Moraxella_sg_Moraxella osloensis		Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella
Pediococcus acidilactici	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus
Rothia dentocariosa	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia
Neisseria bacilliformis	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
Corynebacterium pyruviciproducens	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Bifidobacterium scardovii	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Staphylococcus auricularis	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Trichosporon mycotoxinivorans	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon
Prevotella timonensis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Facklamia hominis	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
Lactobacillus plantarum	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Streptococcus peroris	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Comamonas kerstersii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
Gemella morbillorum	Bacteria	Bacillota	Bacilli	Caryophanales	Gemellaceae	Gemella
Campylobacter concisus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Corynebacterium lipophile_group_F1	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium
Haemophilus sputorum		Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Parabacteroides distasonis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Brevibacterium paucivorans	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium
Atopobium parvulum	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella
Clostridium clostridioforme	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Solobacterium moorei	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
Peptoniphilus coxii	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Dialister pneumosintes	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister
Clostridium subterminale	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Streptococcus salivarius_ssp_thermophilus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Staphylococcus pseudintermedius	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
Aggregatibacter actinomycetemcomitans	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
Trichophyton tonsurans	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichophyton rubrum	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
